bug_id,target_api,bug_category,trigger_condition,oracle_type,pattern_extractability,knowledge_generation_feasibility,confidence,reason,human_include,human_category,human_pattern,human_trigger,harness_feasible,review_note
8693,torch.nn.functional.grid_sample,Other,Call torch.nn.functional.grid_sample with valid 5D input and grid tensors but an unsupported mode string such as 'anything'.,Exception,High,High,High,"The bug is a reproducible input validation flaw: grid_sample does not reject an invalid mode argument. A fuzzing harness can pass arbitrary invalid mode strings and expect an exception, making it suitable for pattern extraction and harness generation.",Yes,Other,Invalid Argument Validation Boundary,Calling grid_sample with valid tensors but unsupported string arguments such as invalid mode values.,High,Keep: this represents API argument validation behavior. Historical bug knowledge can provide valid and invalid parameter constraints for harness generation.
18215,torch.nn.functional.ctc_loss,Gradient Boundary,"CTCLoss is called with at least one empty target sequence, e.g., label_sizes contains 0.",Incorrect Output,High,High,High,"The bug is reproducible by generating CTC loss inputs where one or more target sequences have length zero. It produces incorrect gradients, and torch.autograd.gradcheck returns False, providing a clear oracle. The issue generalizes to sequence-loss functions handling empty target sequences.",Yes,Gradient Boundary,Empty Sequence Gradient Failure in Loss Functions,Calling sequence loss functions with empty target sequences or zero-length labels and performing backward computation.,High,Keep: this represents an important gradient-boundary pattern. Historical bug knowledge can guide harness generation to include empty sequence inputs and backward verification for loss functions.
28010,Tensor.__setitem__,Dtype Boundary,"Assigning a tensor of a different dtype to a float64 tensor using an advanced list index, such as A[:, [i]] = b.unsqueeze(-1), where type promotion occurs.",Incorrect Output,High,High,High,"The bug is triggered by indexed assignment with dtype promotion and produces clearly incorrect tensor values, making it suitable for input generation and output comparison oracles.",Yes,Dtype Boundary,Implicit Dtype Conversion in Indexed Assignment,"Assigning tensors with different dtypes through indexed assignment operations, especially advanced indexing, and checking for incorrect value conversion.",High,Keep: this represents a reusable dtype-boundary pattern. Historical bug knowledge can guide harness generation to test mixed-dtype tensor assignment and validate output correctness.
28623,torch.Tensor.argmax,Dtype Boundary,Calling argmax on a CUDA tensor with dtype torch.float16.,Exception,High,High,High,"The bug is triggered by a specific dtype and device combination, produces a clear runtime exception, and generalizes to testing dtype support boundaries for reduction ops.",Yes,Dtype Boundary,Unsupported Dtype Kernel in Reduction Operations,"Calling reduction operators such as argmax with unsupported dtype and device combinations, especially float16 tensors on CUDA.",High,Keep: this is a clear dtype-boundary pattern. Historical bug knowledge can guide harness generation to prioritize unsupported dtype and device combinations for reduction operators.
31108,torch.Tensor.pow,Dtype Boundary,"CUDA integer tensors (int8/int16/int32/int64) containing negative values, using pow with exponent 4, then synchronizing/printing the result.",Exception,High,High,Medium,"The bug can be reproduced by generating CUDA integer tensors with negative values and calling pow(4); the failure is a clear CUDA RuntimeError during synchronization/printing, and the pattern generalizes to integer pow dtype/device boundary testing.",Yes,Dtype Boundary,Unsupported Integer CUDA Arithmetic Kernel,"Calling arithmetic operators such as pow on CUDA integer tensors containing negative values, especially with large integer exponents, causing kernel failures.",High,Keep: this represents an integer dtype boundary pattern. Historical bug knowledge can guide harness generation to explore unsupported CUDA integer arithmetic cases with boundary values.
34191,torch.topk,Gradient Boundary,"A CUDA tensor with requires_grad=True containing NaN values is passed to torch.topk, and the output is used for backward.",Crash,High,High,High,"The bug is reproducible by feeding NaN values into torch.topk on CUDA and performing backward, triggering a CUDA assertion from invalid scatter indices. This generalizes to non-finite inputs causing invalid gradient behavior.",Yes,Gradient Boundary,Non-finite Value Gradient Failure,Calling differentiable operators with CUDA tensors containing NaN or Inf values and performing backward computation.,High,Keep: this represents a reusable gradient-boundary pattern. Historical bug knowledge can guide harness generation to test non-finite tensor values with autograd-enabled execution and backward validation.
37403,torch.multinomial,Device Boundary,"Calling torch.multinomial on a CUDA tensor with a large number of uniform categories (e.g., 1,000,000), replacement=True, and many samples; CPU produces near-uniform counts while CUDA samples only a small biased subset.",Incorrect Output,Medium,Medium,Medium,"The bug is reproducible via input generation: create large uniform CUDA weights, draw many multinomial samples, and compare the categorical distribution against CPU or expected uniformity. It is a CUDA-specific device-boundary correctness issue with a statistical output oracle.",Yes,Device Boundary,CUDA Statistical Sampling Divergence,Using stochastic sampling operators on CUDA with large probability spaces and comparing sampling distribution correctness against CPU or statistical expectations.,Medium,Keep: this represents a device-boundary correctness pattern. Historical bug knowledge can guide harness generation to compare CUDA stochastic operator behavior against CPU reference or statistical expectations.
37680,torch.argmax,Gradient Boundary,"A floating-point tensor with requires_grad=True is passed to torch.argmax or torch.argmin, producing an integer tensor that incorrectly retains requires_grad=True.",Incorrect Output,High,High,High,"The bug is reproducible by generating a floating-point tensor that requires gradients and calling argmax/argmin. The expected oracle is that integer-typed outputs should not require gradients, which is a clear and general gradient-boundary property.",Yes,Gradient Boundary,Non-differentiable Operator Gradient State Leakage,Applying non-differentiable operators such as argmax/argmin to tensors with requires_grad=True and checking whether gradient state is incorrectly propagated to integer outputs.,High,Keep: this is a strong gradient-boundary pattern. The bug can be generalized from argmax to non-differentiable operators where gradient state propagation should be invalid. The harness can generate requires_grad tensors and verify gradient metadata.
37844,torch.nn.Conv2d,Shape Boundary,"Using nn.Conv2d with padding_mode='circular' and asymmetric padding tuple (h, w) where h != w, so padding is applied to the wrong spatial dimension.",Incorrect Output,High,High,High,The bug is reproducible by constructing Conv2d with asymmetric circular padding and comparing output shape against zero-padding mode or expected shape. It generalizes to a shape-boundary/padding-dimension pattern.,Yes,Shape Boundary,Asymmetric Spatial Parameter Misalignment,"Using Conv2d with spatial tuple parameters where height and width values differ (e.g., asymmetric padding), causing incorrect dimension mapping or output behavior.",High,Keep: this is a representative shape-boundary pattern for deep learning operators. The bug can be generalized to asymmetric spatial parameter handling and is easy to convert into a harness by generating non-equal height/width parameters and validating output shape or values.
37930,torch.nn.SyncBatchNorm.convert_sync_batchnorm,Device Boundary,Calling torch.nn.SyncBatchNorm.convert_sync_batchnorm on a CUDA-resident model containing BatchNorm layers; newly created parameters are placed on CPU instead of the original GPU device.,Incorrect Output,High,High,High,The bug is reproducible by constructing a model with BatchNorm layers on GPU and calling convert_sync_batchnorm. The failure has a clear oracle: all converted model parameters should remain on the original device. It generalizes to a device-affinity preservation pattern in module conversion utilities.,Yes,Device Boundary,Device Affinity Loss During Module Transformation,Applying module transformation or conversion operations to a model located on a specific device and checking whether newly created parameters or buffers remain on the original device.,High,Keep: this is a representative device-boundary pattern. The bug can be generalized from SyncBatchNorm conversion to other module transformation operations that may accidentally change parameter or buffer devices. A harness can construct models on CUDA and verify device consistency after transformation.
38605,torch.nn.utils.clip_grad_norm_,Device Boundary,"Model parameters and their gradients are located on different devices (e.g., cuda:0 and cuda:1) when clip_grad_norm_ is called.",Exception,High,High,High,"The bug is triggered by a clear device-boundary condition: clip_grad_norm_ attempts to stack gradient norms from parameters on different devices, causing a RuntimeError. This is reproducible via input/model construction and abstracts into a general pattern of device-heterogeneous parameter aggregation.",Yes,Device Boundary,Gradient-Parameter Device Inconsistency,Creating neural network parameters and gradients located on different devices and applying gradient aggregation or clipping operations that require consistent device placement.,High,Keep: this is a representative device-boundary pattern. The bug can be generalized to gradient-related utilities where parameter and gradient tensors have inconsistent device placement. A harness can construct mismatched parameter/gradient devices and use exception checking as the oracle.
41115,torch._make_per_tensor_quantized_tensor,State Boundary,"Call torch._make_per_tensor_quantized_tensor on a CUDA integer tensor, then allocate a CPU tensor and check is_pinned(); the CPU allocation incorrectly becomes pinned memory.",Incorrect Output,Medium,Medium,Medium,"The bug is reproducible with a simple API sequence and has a clear observable oracle via Tensor.is_pinned(), reflecting global allocator state leakage after a CUDA quantization operation.",Yes,State Boundary,Hidden State Leakage Across Tensor Operations,"Perform a tensor operation that changes internal runtime state, followed by an unrelated tensor operation, and detect unexpected behavior caused by leaked state.",Medium,"Keep: this represents a state-boundary pattern where one tensor operation unexpectedly affects later unrelated operations through hidden runtime state. Although harness generation is more complex than input-only bugs, it provides valuable coverage for stateful testing scenarios."
45721,torch.kthvalue,Memory Layout Boundary,"Input tensor is on CUDA and has a non-contiguous strided layout, e.g., created by slicing with a step greater than 1 such as tensor[::2].",Incorrect Output,High,High,High,"The bug is triggered by a reproducible input condition: a strided GPU tensor passed to kthvalue. It produces incorrect values and indices relative to the CPU reference, providing a clear output oracle. The bug generalizes to memory-layout boundary testing for reduction/selection operators on non-contiguous CUDA tensors.",Yes,Memory Layout Boundary,Non-contiguous Tensor Operator Incorrectness,"Applying tensor operators on non-contiguous tensors generated by slicing, transpose, or stride-changing operations, and checking whether results match contiguous tensor semantics.",High,Keep: this is a representative memory-layout boundary pattern. The bug can be generalized to operators that mishandle tensor strides or non-contiguous storage. Harness generation is straightforward by creating tensors through slicing or permutation and comparing results with contiguous references.
46242,torch.nn.parallel.DistributedDataParallel,Gradient Boundary,"In a DDP-wrapped model's forward, assign a Parameter to an advanced-indexed view of an input tensor (e.g., x[[True, False]] = self.token) and then perform backward.",Exception,Medium,Low,Medium,"The bug is reproducible by constructing a DDP model with indexed parameter assignment, yields a clear RuntimeError/internal assertion, and generalizes to autograd view creation-metadata mismatches under DDP.",Yes,Gradient Boundary,Parameter Mutation Through Differentiable Views,"Modifying tensors through indexed or view-based in-place operations involving model Parameters during forward execution, followed by backward computation, causing autograd inconsistency.",Medium,"Keep: this represents a gradient-boundary pattern involving parameter mutation through differentiable views. Although reproduction requires DDP and backward execution, the pattern can generalize to autograd correctness testing for in-place operations on parameter-related tensors."
47007,torch.mul,Dtype Boundary,Multiply a CUDA boolean tensor by a Python bool scalar using '*' or torch.mul.,Exception,High,High,High,"The bug is reproducible by generating a bool CUDA tensor and multiplying it by a Python bool scalar. It produces a clear RuntimeError, and the pattern generalizes to unsupported dtype/device combinations for binary operations.",Yes,Dtype Boundary,Unsupported Scalar-Tensor Dtype Combination,"Applying element-wise operators with unsupported combinations of tensor dtype and scalar dtype, such as multiplying CUDA boolean tensors with Python boolean scalars.",High,Keep: this is a representative dtype-boundary pattern for element-wise operators. The bug can be generalized to unsupported scalar-tensor dtype combinations and converted into a simple harness by generating dtype pairs and checking execution behavior.
47054,torch.nn.functional.max_pool1d,Memory Layout Boundary,"A 3D input tensor that is non-contiguous, e.g., produced by torch.rand(2500, 100, 4).permute(0, 2, 1) giving shape (2500, 4, 100), passed to F.max_pool1d with kernel_size=1.",Crash,High,High,High,"The crash is triggered by a non-contiguous memory layout for max_pool1d, which can be generated by fuzzing tensor shapes and permutations; the segfault provides a clear crash oracle.",Yes,Memory Layout Boundary,Non-contiguous Tensor Kernel Failure,"Applying memory-sensitive operators to non-contiguous tensors generated by operations such as permute, transpose, or slicing, which may cause CUDA kernel failures.",High,Keep: this is a representative memory-layout boundary pattern. Non-contiguous tensor generation is easy to automate and can be generalized across pooling and other memory-sensitive operators.
47090,torch.max,Other,"Calling torch.max with dim on a torch.Tensor subclass instance, e.g. torch.tensor([1,2]).as_subclass(_T).",Incorrect Output,Medium,Medium,High,"The bug is reproducible by constructing a Tensor subclass, has a clear type-based oracle (should return a named tuple but returns a plain tuple), and generalizes to named-tuple-returning ops on Tensor subclasses.",Yes,Type Boundary,Tensor Subclass Dispatch Inconsistency,"Calling Tensor operators on Tensor subclass instances created through as_subclass, causing inconsistent return types or dispatch behavior compared with regular Tensor inputs.",Medium,"Keep: this represents a type-dispatch boundary pattern. Although less common than shape or dtype boundaries, Tensor subclass generation can reveal API semantic inconsistencies."
47358,torch.sqrt,Dtype Boundary,"Calling torch.sqrt on CPU complex tensors (complex64 or complex128) with large-magnitude real or imaginary components, such as 0-1e20j or -1e20-4988429.2j, causing inaccurate results from the CPU complex sqrt implementation.",Incorrect Output,Medium,High,High,The bug can be triggered by generating complex-valued CPU tensors with large magnitudes and comparing torch.sqrt output against NumPy or CUDA as an oracle. It represents a reusable numerical-boundary pattern for complex sqrt on CPU.,Yes,Dtype Boundary,Complex Tensor Numerical Stability Boundary,"Applying numerical operators to complex tensors with extremely large magnitude values, which may expose precision loss or inaccurate computation in specific dtype implementations.",High,Keep: this represents a numerical dtype-boundary pattern. Extreme-value complex tensor generation is easy to automate and can reveal precision-related bugs that random inputs cannot trigger.
58545,torch.randperm,Device Boundary,"torch.randperm is called with a CUDA Generator created with device='cuda' (non-canonical device string), while the validation expects 'cuda:0'.",Exception,High,High,High,The bug is reproducibly triggered by generator device input and produces a clear RuntimeError. It can be abstracted as a device-boundary/canonicalization issue in random generator device validation.,Yes,Device Boundary,Device Identifier Normalization Failure,"Calling CUDA APIs with non-canonical device specifications or inconsistent device identifiers, such as using ""cuda"" instead of ""cuda:0"", which may trigger incorrect device validation.",High,Keep: this is a clear device-boundary pattern. Device string variations and generator/device mismatches are easy to generate and can guide harness construction for device validation testing.
60179,torch.onnx.export,Shape Boundary,"Exporting a model containing torch.nn.functional.pad on a 3D or higher-dimensional tensor, where the 6-element pad tuple has non-zero padding on a non-last dimension, such as F.pad(x, [0, 0, 0, k, 0, 0]), especially with dynamic axes.",Incorrect Output,High,High,High,"The bug is reproducible by generating F.pad-based models, exporting to ONNX, and comparing against PyTorch outputs; the resulting shape mismatch gives a clear oracle, and the incorrect padding dimension mapping is a general exporter pattern.",Yes,Shape Boundary,Dimension-sensitive Export Transformation Failure,"Exporting models containing high-dimensional tensors with padding operations on non-last dimensions, especially under dynamic shape settings, may produce incorrect exported graphs.",Medium,"Keep: this represents a shape-boundary pattern in graph transformation. Although it requires model-level harness generation, the trigger condition is clear and can guide LLM generation of export test cases."
60417,torch.fx.symbolic_trace,Other,"A traced nn.Module forward calls builtins.getattr on a Tensor attribute that does not exist and supplies a default value, e.g. getattr(a, 'nonexistent_attr', torch.Size([1,2])).",Exception,High,High,High,"The bug is reproducible by generating a model whose forward uses builtins.getattr with a default during torch.fx.symbolic_trace. The tracer drops the default argument, so executing the traced module raises AttributeError instead of returning the default, giving a clear oracle. This can be abstracted as an FX tracing semantic pattern for getattr defaults.",Yes,Graph Transformation Boundary,Tracing Semantic Preservation Failure,"Tracing modules containing dynamic Python attribute access such as getattr with default values may lose original semantics during graph transformation, causing execution differences between original and traced models.",High,"Keep: this represents a graph-transformation boundary pattern. Although not a basic tensor operator bug, it is suitable for generating model-level harnesses and testing semantic preservation during tracing."
61291,torch.mm,Shape Boundary,"Passing CUDA tensors with incompatible shapes to torch.mm, e.g. shapes that do not satisfy (m,k) and (k,n), as occurs through nn.Linear when default tensor type is set to a CUDA type.",Exception,High,High,High,"The bug is a missing shape validation on GPU mm operations, leading to undefined behavior instead of a shape mismatch exception. It can be reproduced by generating mismatched CUDA tensor shapes and has a clear expected oracle: an exception.",Yes,Shape Boundary,Matrix Dimension Compatibility Violation,"Calling matrix multiplication operators with incompatible inner dimensions, where tensor shapes violate mathematical multiplication constraints.",High,Keep: this is a representative shape-boundary pattern. Dimension constraint violations are easy to generate and directly applicable to tensor operator fuzzing.
61345,torch.onnx.export,Shape Boundary,"Exporting a module that registers a buffer with extra singleton dimensions, indexes the buffer, and adds it to an input tensor with larger spatial dimensions; e.g., buffer shape (1,1,3,1,1) indexed to (1,3,1,1), input shape (1,3,224,224).",Exception,Medium,Medium,High,"The bug is reproducible through shape and broadcasting choices during ONNX export, and the ONNX Runtime failure provides a clear exception oracle.",Yes,Graph Transformation Boundary,Broadcasting Shape Preservation Failure During Graph Export,"Exporting models containing indexed buffers or tensors with singleton dimensions followed by broadcasting operations, where ONNX graph generation mishandles the original tensor shape semantics.",Medium,"Keep: although more complex than tensor operator bugs, it represents a reusable graph transformation pattern. Useful for testing ONNX export semantic preservation with shape-sensitive models."
61754,torch.onnx.export,Shape Boundary,Exporting a model that creates a 0-dim tensor with torch.zeros(()) and then applies an in-place operation such as y += x.,Exception,Medium,High,High,"The bug is triggered by a specific input/model shape pattern (scalar tensor constant followed by in-place op), has a clear exception oracle from ONNX checker, and can be abstracted into a reusable ONNX export generation pattern.",Yes,Graph Transformation Boundary,Scalar Tensor Handling Failure During ONNX Graph Export,"Exporting models containing 0-dimensional scalar tensors created by torch.zeros(()) followed by in-place tensor operations, which causes ONNX graph conversion failure.",High,Keep: represents a distinct ONNX export pattern involving scalar tensor semantics and in-place mutation. Easy to transform into a reusable harness generation rule.
65709,torch.normal,Shape Boundary,"Calling torch.normal with zero-sized mean and std tensors whose shapes require broadcasting, e.g. mean shape (0, 2) and std shape (0, 1).",Exception,Medium,High,High,"The bug is triggered by empty tensor shapes in torch.normal broadcasting and produces a clear RuntimeError, making it reproducible via input generation and abstractable as a shape-boundary issue.",Yes,Shape Boundary,Zero-sized Tensor Broadcasting Failure,"Calling torch.normal with empty tensors whose dimensions require broadcasting, especially when one or more dimensions are zero, causing incorrect shape handling or runtime failure.",High,Keep: this is a representative shape-boundary pattern. The trigger condition can be directly converted into tensor shape generation rules for harness enhancement.
65808,torch.utils.data.datapipes.iter.TarArchiveReader,State Boundary,"A datapipe pipeline uses TarArchiveReader followed by Shuffler, and Shuffler's buffer_size is greater than the number of entries in the tar archive, causing the archive to be exhausted and closed before yielded member streams are read.",Exception,High,High,High,The failure is reproducible by constructing a tar archive with a known number of members and configuring Shuffler with a larger buffer_size. Reading from the yielded buffer then triggers 'ValueError: seek of closed file'. This abstracts into a resource lifetime/state boundary pattern for buffered datapipes.,Yes,State Boundary,Streaming Resource Lifetime Violation,"Creating a DataPipe pipeline where a buffered consumer such as Shuffler requests more elements than the upstream TarArchiveReader can provide, causing the underlying archive resource to be closed before all yielded streams are consumed.",Medium,"Keep: although not a tensor operator bug, it represents a reusable state-boundary pattern in PyTorch data pipelines. The pattern can be converted into workload generation rules for framework-level testing."
66086,torch.cosine_similarity,Shape Boundary,"Calling torch.cosine_similarity with two input tensors that have different numbers of dimensions, e.g., x1 shape [10, 2, 3, 4] and x2 shape [2, 3, 4], dim=-1.",Exception,High,High,High,"The bug is triggered by rank mismatch in torch.cosine_similarity, causing a RuntimeError regression. This is a reusable shape-boundary pattern for input generation fuzzing.",Yes,Shape Boundary,Tensor Rank Mismatch Handling Failure,"Calling tensor operators with input tensors having incompatible ranks or dimension structures, such as passing tensors with different numbers of dimensions to torch.cosine_similarity.",High,Keep: this is a representative shape-boundary pattern. The trigger condition can be directly converted into tensor dimension generation constraints for harness enhancement.
