bug_id,target_api,bug_category,trigger_condition,oracle_type,pattern_extractability,knowledge_generation_feasibility,include,confidence,reason
60179,torch.onnx.export,Shape Boundary,"Exporting a model containing torch.nn.functional.pad on a 3D or higher-dimensional tensor, where the 6-element pad tuple has non-zero padding on a non-last dimension, such as F.pad(x, [0, 0, 0, k, 0, 0]), especially with dynamic axes.",Incorrect Output,High,High,Yes,High,"The bug is reproducible by generating F.pad-based models, exporting to ONNX, and comparing against PyTorch outputs; the resulting shape mismatch gives a clear oracle, and the incorrect padding dimension mapping is a general exporter pattern."
7568,torch.nn.utils.weight_norm,Shape Boundary,"Use torch.nn.utils.weight_norm(module, dim=None), which produces a 0-dim weight_g parameter, then wrap the model with torch.nn.DataParallel and run forward/backward on multiple CUDA devices.",Exception,High,Medium,Yes,High,"The bug is triggered by a clear shape boundary condition: weight_norm(dim=None) creates a 0-dim parameter that DataParallel cannot replicate correctly, causing a runtime exception. This can be abstracted into a reusable shape-boundary pattern for module replication."
7650,torch.onnx.export,Dtype Boundary,"Calling torch.onnx.export on a module that computes x ** 2 / torch.pow(x, 2) with a floating-point input tensor. The exporter records the exponent as an int64 tensor, producing an ONNX Pow node with an int64 exponent input.",Exception,High,High,Yes,High,"The bug is rooted in PyTorch's ONNX exporter preserving an integer dtype for the Pow exponent, which violates ONNX/Caffe2 Pow dtype constraints and triggers a clear type-mismatch exception. It is reproducible by generating simple modules that use integer-exponent pow and exporting them, making it a reusable dtype-boundary pattern."
7178,torch.load/torch.save,Other,N/A - the report describes a missing device parameter in serialization APIs rather than an input-triggered failure.,Documentation Issue,Low,Low,No,High,"This is a feature request/API design discussion asking to unify torch.device with torch.load/torch.save map_location. It does not describe a reproducible bug, a clear failure oracle, or a generalizable bug pattern suitable for fuzzing."
47054,torch.nn.functional.max_pool1d,Memory Layout Boundary,"A 3D input tensor that is non-contiguous, e.g., produced by torch.rand(2500, 100, 4).permute(0, 2, 1) giving shape (2500, 4, 100), passed to F.max_pool1d with kernel_size=1.",Crash,High,High,Yes,High,"The crash is triggered by a non-contiguous memory layout for max_pool1d, which can be generated by fuzzing tensor shapes and permutations; the segfault provides a clear crash oracle."
61755,torch.hub.load,Other,Calling torch.hub.load with pretrained=True when the external hosting service returns HTTP 403 due to rate limiting.,Exception,Low,Low,No,High,"This failure depends on an external network service and rate limiting, which is excluded as a network/external dependency issue and cannot be reliably reproduced through local input generation."
7961,,,,,,,,,
58545,torch.randperm,Device Boundary,"torch.randperm is called with a CUDA Generator created with device='cuda' (non-canonical device string), while the validation expects 'cuda:0'.",Exception,High,High,Yes,High,The bug is reproducibly triggered by generator device input and produces a clear RuntimeError. It can be abstracted as a device-boundary/canonicalization issue in random generator device validation.
7868,torch.onnx.export,Memory Layout Boundary,"Exporting a model containing consecutive transpose operations, such as x.transpose(1, 2).transpose(0, 1), to ONNX triggers incorrect transpose fusion in the peephole optimizer.",Incorrect Output,High,High,Yes,High,"The bug is triggered by a reproducible sequence of transpose operations during ONNX export, produces an incorrect transpose permutation in the exported graph, and can be abstracted into a general pattern for fuzzing ONNX export with transpose sequences."
37930,torch.nn.SyncBatchNorm.convert_sync_batchnorm,Device Boundary,Calling torch.nn.SyncBatchNorm.convert_sync_batchnorm on a CUDA-resident model containing BatchNorm layers; newly created parameters are placed on CPU instead of the original GPU device.,Incorrect Output,High,High,Yes,High,The bug is reproducible by constructing a model with BatchNorm layers on GPU and calling convert_sync_batchnorm. The failure has a clear oracle: all converted model parameters should remain on the original device. It generalizes to a device-affinity preservation pattern in module conversion utilities.
65696,_object_to_tensor,Other,"Passing a large Python object (e.g., a 50 MB string) to torch.distributed.distributed_c10d._object_to_tensor or related all_gather_object, causing serialization to produce a large ByteStorage and then converting it via torch.tensor(byte_storage, dtype=torch.uint8).",Performance Issue,Low,Low,No,High,"This is a pure performance regression in _object_to_tensor for large objects, with no functional failure or incorrect output. The oracle is timing-based and the regression is version-specific, so it is excluded by the stated criteria."
7639,torch.Tensor.index,Other,"Calling Tensor.index with an integer index instead of a tuple of Tensors, e.g. torch.FloatTensor(5).index(3).",Exception,Medium,Medium,Yes,Medium,"The report describes a reproducible argument-type boundary issue: an integer index triggers a clear TypeError, and the condition can be exercised by generating different index argument types for Tensor.index."
28010,Tensor.__setitem__,Dtype Boundary,"Assigning a tensor of a different dtype to a float64 tensor using an advanced list index, such as A[:, [i]] = b.unsqueeze(-1), where type promotion occurs.",Incorrect Output,High,High,Yes,High,"The bug is triggered by indexed assignment with dtype promotion and produces clearly incorrect tensor values, making it suitable for input generation and output comparison oracles."
45721,torch.kthvalue,Memory Layout Boundary,"Input tensor is on CUDA and has a non-contiguous strided layout, e.g., created by slicing with a step greater than 1 such as tensor[::2].",Incorrect Output,High,High,Yes,High,"The bug is triggered by a reproducible input condition: a strided GPU tensor passed to kthvalue. It produces incorrect values and indices relative to the CPU reference, providing a clear output oracle. The bug generalizes to memory-layout boundary testing for reduction/selection operators on non-contiguous CUDA tensors."
18215,torch.nn.functional.ctc_loss,Gradient Boundary,"CTCLoss is called with at least one empty target sequence, e.g., label_sizes contains 0.",Incorrect Output,High,High,Yes,High,"The bug is reproducible by generating CTC loss inputs where one or more target sequences have length zero. It produces incorrect gradients, and torch.autograd.gradcheck returns False, providing a clear oracle. The issue generalizes to sequence-loss functions handling empty target sequences."
53368,torch.nn.Embedding,Other,"Create nn.Embedding with padding_idx, modify the embedding weight at padding_idx after initialization, then perform a forward pass with an input containing padding_idx.",Documentation Issue,Low,Low,No,Medium,"The report is filed as a documentation problem describing an undocumented behavior change for nn.Embedding padding_idx. The intended behavior is ambiguous, so there is no clear oracle for a fuzzing bug pattern."
7763,torch.einsum,Gradient Boundary,"A tensor with requires_grad=True is used as an operand in torch.einsum and then reused in another differentiable operation before backward, causing autograd to detect an in-place modification.",Exception,Medium,High,Yes,High,"The bug is reproducibly triggered by generating a differentiable tensor, passing it to torch.einsum multiple times, and calling backward. The resulting RuntimeError is a clear oracle, and the issue can be generalized as an autograd in-place mutation pattern for functional APIs."
31271,torch.Tensor.copy_,Dtype Boundary,CPU copy_ from a large uint8 tensor to a float32 tensor with single-threaded execution.,Performance Issue,Low,Low,No,High,"This is a pure performance regression in the CPU copy kernel, which is explicitly excluded by the dataset criteria."
7849,torch.where,Device Boundary,"torch.where is called with tensors on mismatched devices, such as a CUDA condition and CPU operands, causing a backend-mismatch RuntimeError with an incorrectly formatted message.",Documentation Issue,Low,Low,No,High,"The reported bug is only an incorrect RuntimeError diagnostic message rather than a functional failure. The exception itself is expected for mixed-device inputs, so detection requires exact error-string assertions and does not abstract into a reusable fuzzing pattern for PyTorch computation behavior."
7332,torch.nn.functional.conv2d,Shape Boundary,"Passing a 3D input tensor to conv2d, which expects a 4D input tensor.",Exception,Low,Low,No,High,"The report describes a misleading error message for an invalid input shape, not a functional failure. Both versions raise RuntimeError, and the desired oracle depends on subjective error message quality rather than a clear, checkable failure condition."
66086,torch.cosine_similarity,Shape Boundary,"Calling torch.cosine_similarity with two input tensors that have different numbers of dimensions, e.g., x1 shape [10, 2, 3, 4] and x2 shape [2, 3, 4], dim=-1.",Exception,High,High,Yes,High,"The bug is triggered by rank mismatch in torch.cosine_similarity, causing a RuntimeError regression. This is a reusable shape-boundary pattern for input generation fuzzing."
7882,,,,,,,,,
61754,torch.onnx.export,Shape Boundary,Exporting a model that creates a 0-dim tensor with torch.zeros(()) and then applies an in-place operation such as y += x.,Exception,Medium,High,Yes,High,"The bug is triggered by a specific input/model shape pattern (scalar tensor constant followed by in-place op), has a clear exception oracle from ONNX checker, and can be abstracted into a reusable ONNX export generation pattern."
8626,torch.Tensor.as_strided,Gradient Boundary,"Applying as_strided or reshape to an expanded tensor that requires gradients, then computing gradients; for example, x.expand(3,2).as_strided([3,2], x.expand(3,2).stride()) followed by a differentiable operation.",Incorrect Output,High,High,Yes,High,"The bug is reproducible by generating expanded tensors and applying view ops such as as_strided or reshape. The failure is an incorrect gradient, which can be detected by comparing gradients against an equivalent graph without the view op."
7559,torch.Tensor.__getitem__,Shape Boundary,"Indexing a tensor with a zero-length slice such as slice(0), especially when combined with other slices or followed by further indexing on the resulting tensor.",Incorrect Output,High,High,Yes,High,"Zero-length slice indexing is a reproducible input pattern. The bug yields clear oracles, including incorrect tensor output and an indexing RuntimeError, and can be generalized into a shape-boundary indexing pattern."
55027,torch.cuda.amp.autocast,Other,"Training torchvision's fasterrcnn_resnet50_fpn on CUDA with specific synthetic image/target tensors; one reproduction requires torch.cuda.amp.autocast(enabled=True), while the error does not occur with AMP disabled.",Exception,Low,Low,No,Medium,"The failure requires a high-level torchvision object-detection model and is not reduced to a minimal PyTorch API trigger. The root cause is unclear from the report, and the pattern is too specific to a model/target/AMP combination to be reusable for PyTorch API fuzzing."
41115,torch._make_per_tensor_quantized_tensor,State Boundary,"Call torch._make_per_tensor_quantized_tensor on a CUDA integer tensor, then allocate a CPU tensor and check is_pinned(); the CPU allocation incorrectly becomes pinned memory.",Incorrect Output,Medium,Medium,Yes,Medium,"The bug is reproducible with a simple API sequence and has a clear observable oracle via Tensor.is_pinned(), reflecting global allocator state leakage after a CUDA quantization operation."
8508,torch.distributions.MultivariateNormal,Shape Boundary,"Passing a 0-dimensional scalar tensor as loc to torch.distributions.MultivariateNormal with a 1x1 covariance matrix (e.g., torch.eye(1) * sigma).",Crash,High,High,Yes,High,The crash is triggered by a specific shape condition (scalar/0-dimensional loc tensor) and produces a clear SIGFPE crash oracle. This can be generalized into a shape-boundary pattern for distribution parameter validation.
65709,torch.normal,Shape Boundary,"Calling torch.normal with zero-sized mean and std tensors whose shapes require broadcasting, e.g. mean shape (0, 2) and std shape (0, 1).",Exception,Medium,High,Yes,High,"The bug is triggered by empty tensor shapes in torch.normal broadcasting and produces a clear RuntimeError, making it reproducible via input generation and abstractable as a shape-boundary issue."
31108,torch.Tensor.pow,Dtype Boundary,"CUDA integer tensors (int8/int16/int32/int64) containing negative values, using pow with exponent 4, then synchronizing/printing the result.",Exception,High,High,Yes,Medium,"The bug can be reproduced by generating CUDA integer tensors with negative values and calling pow(4); the failure is a clear CUDA RuntimeError during synchronization/printing, and the pattern generalizes to integer pow dtype/device boundary testing."
46242,torch.nn.parallel.DistributedDataParallel,Gradient Boundary,"In a DDP-wrapped model's forward, assign a Parameter to an advanced-indexed view of an input tensor (e.g., x[[True, False]] = self.token) and then perform backward.",Exception,Medium,Low,Yes,Medium,"The bug is reproducible by constructing a DDP model with indexed parameter assignment, yields a clear RuntimeError/internal assertion, and generalizes to autograd view creation-metadata mismatches under DDP."
8077,torch.load,State Boundary,"Saving a torch.nn.Module that has torch.nn.Parameter attributes (including nested module parameters) with torch.save, then loading it with torch.load. The loaded module retains the attribute but its type changes from torch.nn.Parameter to torch.Tensor.",Incorrect Output,High,High,Yes,High,"The bug is reproducible by constructing a module with Parameter attributes, saving and loading it, and checking the loaded attribute type. It has a clear expected oracle (Parameter type should be preserved) and generalizes to serialization/deserialization state boundary issues."
47358,torch.sqrt,Dtype Boundary,"Calling torch.sqrt on CPU complex tensors (complex64 or complex128) with large-magnitude real or imaginary components, such as 0-1e20j or -1e20-4988429.2j, causing inaccurate results from the CPU complex sqrt implementation.",Incorrect Output,Medium,High,Yes,High,The bug can be triggered by generating complex-valued CPU tensors with large magnitudes and comparing torch.sqrt output against NumPy or CUDA as an oracle. It represents a reusable numerical-boundary pattern for complex sqrt on CPU.
47090,torch.max,Other,"Calling torch.max with dim on a torch.Tensor subclass instance, e.g. torch.tensor([1,2]).as_subclass(_T).",Incorrect Output,Medium,Medium,Yes,High,"The bug is reproducible by constructing a Tensor subclass, has a clear type-based oracle (should return a named tuple but returns a plain tuple), and generalizes to named-tuple-returning ops on Tensor subclasses."
37680,torch.argmax,Gradient Boundary,"A floating-point tensor with requires_grad=True is passed to torch.argmax or torch.argmin, producing an integer tensor that incorrectly retains requires_grad=True.",Incorrect Output,High,High,Yes,High,"The bug is reproducible by generating a floating-point tensor that requires gradients and calling argmax/argmin. The expected oracle is that integer-typed outputs should not require gradients, which is a clear and general gradient-boundary property."
61345,torch.onnx.export,Shape Boundary,"Exporting a module that registers a buffer with extra singleton dimensions, indexes the buffer, and adds it to an input tensor with larger spatial dimensions; e.g., buffer shape (1,1,3,1,1) indexed to (1,3,1,1), input shape (1,3,224,224).",Exception,Medium,Medium,Yes,High,"The bug is reproducible through shape and broadcasting choices during ONNX export, and the ONNX Runtime failure provides a clear exception oracle."
47007,torch.mul,Dtype Boundary,Multiply a CUDA boolean tensor by a Python bool scalar using '*' or torch.mul.,Exception,High,High,Yes,High,"The bug is reproducible by generating a bool CUDA tensor and multiplying it by a Python bool scalar. It produces a clear RuntimeError, and the pattern generalizes to unsupported dtype/device combinations for binary operations."
51206,torch.nn.functional.interpolate,Dtype Boundary,Calling torch.nn.functional.interpolate with mode='trilinear' or 'bicubic' on CUDA half-precision tensors under torch.cuda.amp.autocast.,Performance Issue,Medium,Low,No,High,"This is a pure performance regression/slowdown under AMP for fp16 interpolation, not a correctness, crash, or exception bug; it is environment/hardware-dependent and excluded by the criteria."
28623,torch.Tensor.argmax,Dtype Boundary,Calling argmax on a CUDA tensor with dtype torch.float16.,Exception,High,High,Yes,High,"The bug is triggered by a specific dtype and device combination, produces a clear runtime exception, and generalizes to testing dtype support boundaries for reduction ops."
48674,torch.jit.script,Other,Scripting a function that uses negative integer tensor indexing such as x[-3] under Python 3.9.,Exception,Low,Low,No,Medium,"The bug is reported specifically as a Python-3.9 issue, making it environment-specific rather than a reusable input-generation pattern across standard fuzzing environments."
38605,torch.nn.utils.clip_grad_norm_,Device Boundary,"Model parameters and their gradients are located on different devices (e.g., cuda:0 and cuda:1) when clip_grad_norm_ is called.",Exception,High,High,Yes,High,"The bug is triggered by a clear device-boundary condition: clip_grad_norm_ attempts to stack gradient norms from parameters on different devices, causing a RuntimeError. This is reproducible via input/model construction and abstracts into a general pattern of device-heterogeneous parameter aggregation."
7947,torch.nn.functional.embedding_bag,Other,Call torch.nn.functional.embedding_bag with max_norm set to a non-None value.,Exception,Low,High,Yes,High,"The bug is triggered by a concrete input condition (max_norm is not None) and produces a deterministic NameError exception. It can be abstracted as an optional parameter code path referencing an undefined internal variable, and a harness can easily be generated to call embedding_bag with max_norm set."
60417,torch.fx.symbolic_trace,Other,"A traced nn.Module forward calls builtins.getattr on a Tensor attribute that does not exist and supplies a default value, e.g. getattr(a, 'nonexistent_attr', torch.Size([1,2])).",Exception,High,High,Yes,High,"The bug is reproducible by generating a model whose forward uses builtins.getattr with a default during torch.fx.symbolic_trace. The tracer drops the default argument, so executing the traced module raises AttributeError instead of returning the default, giving a clear oracle. This can be abstracted as an FX tracing semantic pattern for getattr defaults."
